"Date","EvapMM","Sunshine","MaxWindSpeed","Temp9am","RelHumid9am","Cloud9am","WindSpeed9am","Pressure9am","Temp3pm","RelHumid3pm","Cloud3pm","WindSpeed3pm","Pressure3pm","ChangeTemp","ChangeTempDir","ChangeTempMag","ChangeWindDirect","MaxWindPeriod","RainToday","TempRange","PressureChange","RISK_MM","RainTomorrow","rpart"
"2008-09-11",3,9.9,31,6,68,1,4,1018.8,16.3,20,1,20,1013.9,10.3,"up","large","s","lateAM",0,19.1,"down",0,0,"0"
"2008-07-12",1.4,6.5,20,0.8,87,1,2,1027.1,9.9,54,7,7,1022.7,9.1,"up","large","l","earlyAM",0,13.7,"down",0,0,"0"
"2008-01-31",10.2,3.6,39,21.4,66,7,13,1014.6,26.3,49,8,13,1012.8,4.9,"up","small","s","latePM",1,10.2,"down",1,0,"1"
"2008-01-28",9.4,13.2,44,22.4,60,0,4,1013.9,32.1,18,1,24,1012,9.7,"up","large","s","earlyPM",0,17.9,"down",0,0,"0"
"2008-02-20",7.2,8.2,39,17.4,78,2,2,1012.2,28.6,31,7,9,1009.1,11.2,"up","large","l","latePM",0,16.9,"down",1.8,1,"0"
"2008-02-28",7.6,0.8,48,15.7,74,7,13,1010,15.3,78,7,13,1009.9,-0.399999999999999,"down","small","s","latePM",0,2.5,"down",10.4,1,"0"
"2008-12-8",12.8,12.9,50,15.7,62,7,6,1013.2,25,19,1,22,1008.8,9.3,"up","large","s","earlyPM",0,14.5,"down",0,0,"0"
"2008-02-24",10.4,12.4,44,15.1,54,0,15,1007.9,22.9,34,1,30,1007.2,7.8,"up","large","s","lateAM",0,11.8,"down",0,0,"0"
"2007-11-19",7.4,13,39,20.2,60,1,4,1017.1,31.2,25,3,17,1013.3,11,"up","large","l","latePM",0,19.9,"down",0,0,"0"
"2007-12-21",1.8,8.1,41,21,81,2,6,1012.9,28.2,48,7,22,1008.3,7.2,"up","small","n","latePM",1,14.7,"down",11,1,"1"
"2008-07-10",1.8,1.2,65,6,83,7,31,1014.6,6.9,85,7,35,1010.5,0.9,"up","small","n","earlyPM",0,6.9,"down",1.6,1,"1"
"2008-01-24",6.4,9.9,35,17,64,3,6,1021.3,26.3,29,6,11,1018.1,9.3,"up","large","s","earlyPM",0,17.5,"down",0,0,"0"
"2008-08-26",2.8,9,48,4.8,77,5,0,1023.9,15.8,23,7,26,1020.3,11,"up","large","c","earlyPM",0,18.8,"down",0,0,"0"
"2008-02-23",7.8,12.4,46,15.7,57,1,20,1007.4,24.5,32,1,26,1005.4,8.8,"up","large","n","latePM",0,12.4,"down",0,0,"0"
"2007-11-10",5.4,7.7,31,13.3,82,7,7,1024.1,21.7,32,1,6,1020.7,8.4,"up","large","s","latePM",1,14.4,"down",0,0,"0"
"2008-01-20",1.4,8.1,50,19.4,80,7,19,1004.9,21.9,71,8,28,1004,2.5,"up","small","s","earlyPM",1,7.5,"down",0.8,0,"1"
"2008-10-30",5,7.1,46,15.8,69,6,6,1021,25.9,39,7,28,1016.2,10.1,"up","large","s","earlyPM",0,14.4,"down",0,0,"0"
"2008-04-30",1.4,7,28,5.3,80,1,2,1024.2,13.9,40,7,19,1020.5,8.6,"up","large","s","earlyPM",0,16.6,"down",0,0,"0"
"2008-03-23",2.4,6.2,30,15.5,76,7,6,1023.2,24.2,44,6,7,1019.3,8.7,"up","large","l","latePM",0,12.1,"down",0.6,0,"0"
"2008-12-10",10.8,8.8,41,18.3,59,7,15,1007.3,22.3,46,7,20,1007.4,4,"up","small","s","earlyPM",0,8.4,"up",0,0,"0"
"2008-09-16",6.6,11,65,7.1,53,3,26,1017,12.2,33,1,31,1017.6,5.1,"up","small","n","earlyPM",1,9.3,"up",0,0,"0"
"2008-01-12",13.8,6.9,50,23.6,61,7,4,1007.6,34,28,2,17,1003,10.4,"up","large","l","earlyPM",0,14.8,"down",2,1,"1"
"2007-11-21",8.8,9.5,59,22.2,60,1,2,1012.4,32.8,26,5,31,1006.5,10.6,"up","large","s","earlyPM",0,18.1,"down",0.4,0,"0"
"2008-03-18",5.8,10.7,43,16.8,76,0,0,1022.7,29.2,30,1,19,1018.8,12.4,"up","large","c","lateAM",0,17.4,"down",0,0,"0"
"2008-07-17",0.6,4.7,41,1.3,99,7,0,1019.7,11,55,3,24,1013.9,9.7,"up","large","c","latePM",0,13.3,"down",0,0,"1"
"2007-12-9",6.6,11.1,43,20.6,78,7,9,1010.8,28.6,24,7,24,1008.5,8,"up","large","s","lateAM",0,14.4,"down",0,0,"0"
"2008-09-9",3.4,10.9,43,5.5,53,0,9,1025.8,13.4,25,0,22,1020.9,7.9,"up","large","l","earlyAM",0,18.4,"down",0,0,"0"
"2008-12-17",9.6,4.5,50,18.8,55,6,4,1011,16.8,87,7,30,1008.6,-2,"down","large","l","earlyPM",0,14.4,"down",7.8,1,"1"
